headline,link
Om Malik has died,https://om.co/2026/06/24/1966-2026/
We All Depend on Open Source. We Will Defend It Together,https://akrites.org/letter/
An entire Herculaneum scroll has been read for the first time,https://scrollprize.org/firstscroll
Libre Barcode Project,https://graphicore.github.io/librebarcode/
Framework's 10G Ethernet module exposes USB-C's complexity,https://www.jeffgeerling.com/blog/2026/framework-10g-ethernet-module-usb-c-complexity/
Om Malik has died,N/A
We All Depend on Open Source. We Will Defend It Together,https://akrites.org/letter/
An entire Herculaneum scroll has been read for the first time,https://scrollprize.org/firstscroll
Libre Barcode Project,https://graphicore.github.io/librebarcode/
Framework's 10G Ethernet module exposes USB-C's complexity,https://www.jeffgeerling.com/blog/2026/framework-10g-ethernet-module-usb-c-complexity/
